Volume,Open,High,Low,Close,Intraday_change,day,month,year,Daily_Return,MA_7,MA_30,Volatility_7,is_quarter_end,Price_Range,Close_lag1,Close_lag2
-0.6004796002343754,-0.7022454734934033,-0.7025273234064394,-0.7013637556562118,-0.7006452627674193,0.05909234022753403,-1.3382265474333928,-1.0765742816737396,-1.5803575061660453,0.350759325804809,-0.6995378567159422,-0.6916128017798508,-0.7261125749520398,1.388691822416084,-0.5878858251736835,-0.7017286822124418,-0.7024196151886704
-0.4787848694403788,-0.7000529698942449,-0.7003440137645605,-0.6995252147709492,-0.7017467387211729,-0.01576947406495143,-1.2239650037770697,-1.0765742816737396,-1.5803575061660453,-0.301895480594319,-0.6998414621662586,-0.6915297107935978,-0.7591757933344401,1.388691822416084,-0.5806701631671766,-0.699975006544592,-0.7010566259469702
-0.13772979712577965,-0.7022692256157275,-0.7035801658164996,-0.7045267964037144,-0.7058635508406835,-0.05885032945968321,-1.109703460120747,-1.0765742816737396,-1.5803575061660453,-0.9934956015515553,-0.7007034660892043,-0.6916881548028609,-0.5556740244560716,1.388691822416084,-0.5554079378671886,-0.7010764282994648,-0.6993030350903667
-0.13270127097508708,-0.705205353352267,-0.7073034805429245,-0.706966615200943,-0.7076932451160214,-0.03363328102708693,-0.7669188291517779,-1.0765742816737396,-1.5803575061660453,-0.485187446594358,-0.7021264857731442,-0.6919012558540792,-0.7075179332347588,1.388691822416084,-0.5786995614282335,-0.7051930378484083,-0.7004044035782909
-0.35448221787776346,-0.7088165894887138,-0.7078923585010937,-0.7073727826516157,-0.708034483098372,0.04073000841994362,-0.652657285495455,-1.0765742816737396,-1.5803575061660453,-0.13432439684915776,-0.7032623889234658,-0.6922334969742782,-0.710559852972458,1.388691822416084,-0.5820629192834225,-0.7070226420923829,-0.7045208140398015
-0.4605225483960584,-0.7071786065915093,-0.7062979268173839,-0.7052406380433496,-0.7059486316244866,0.05084590840896708,-0.538395741839132,-1.0765742816737396,-1.5803575061660453,0.45036260175966153,-0.703575154883059,-0.6924840595935781,-0.7091679971223003,1.388691822416084,-0.5892637647355012,-0.7073638632838842,-0.7063503298004726
-0.6145070573583998,-0.7055945227411174,-0.7073275710048496,-0.7060285841370334,-0.7075770595295375,-0.022146437713062603,-0.424134198182809,-1.0765742816737396,-1.5803575061660453,-0.4378502071901092,-0.7043158474902963,-0.692653957016689,-0.7488171309973597,1.388691822416084,-0.5939161628259388,-0.705278114445753,-0.7066915344898379
-0.3763631699086825,-0.7085178608733286,-0.7089336017998566,-0.7075481944605667,-0.7090344110198442,0.011233955063858683,-0.30987265452648605,-1.0765742816737396,-1.5803575061660453,-0.4021699374350717,-0.7055158742055555,-0.6929921244341338,-0.8855278283580509,1.388691822416084,-0.5965831426230049,-0.7069064622228906,-0.7046058865226726
-0.33998999064516705,-0.7066606276162083,-0.7064585298968846,-0.7059976291119244,-0.7047529264155532,0.06621709114382773,0.03291197644248285,-1.0765742816737396,-1.5803575061660453,0.9884756606939279,-0.7059458946838917,-0.6931538233009515,-0.4209870213690339,1.388691822416084,-0.5799737851090537,-0.7083637420032165,-0.7062341555496701
-0.47504339325715467,-0.7045713543948436,-0.7047936113060607,-0.7034086633755343,-0.7053448325136251,0.0052724287869597465,0.14717352009880583,-1.0765742816737396,-1.5803575061660453,-0.19105448164112993,-0.7058716945587498,-0.693485665240507,-0.6480767139196633,1.388691822416084,-0.5932197847678161,-0.7040824680723154,-0.7076913648530448
-0.49239830009493746,-0.7048582069490669,-0.7035025409947411,-0.7039273945538763,-0.7016973369757387,0.09461223546619965,0.2614350637551288,-1.0765742816737396,-1.5803575061660453,0.8068109755199426,-0.705014009161606,-0.693846954429071,-0.5718651945412743,1.388691822416084,-0.563586675911525,-0.7046743450452413,-0.7034102979730739
0.18995952948949804,-0.7005700353263797,-0.7012960331302673,-0.703039079136354,-0.704784031218234,-0.0729752000809068,0.3756966074114518,-1.0765742816737396,-1.5803575061660453,-0.7577095612418113,-0.7045490478835997,-0.6943157460355477,-0.38595548877206937,1.388691822416084,-0.5409766138541746,-0.7010270289848775,-0.704002146321651
-0.594008857104543,-0.7033417252929823,-0.7046267625512459,-0.702357130552892,-0.7033019788552103,0.02369707620023259,0.48995815106777474,-1.0765742816737396,-1.5803575061660453,0.2951176998117634,-0.7041704571216321,-0.6947847525854479,-0.41093437399755955,1.388691822416084,-0.6070584466037039,-0.704113571344463,-0.7003550066527527
-0.8964606192489577,-0.7027022450765612,-0.7037282775453726,-0.7012005382510915,-0.7023560269148604,0.030634880299480746,0.8327427820367437,-1.0765742816737396,-1.5803575061660453,0.16671646609218677,-0.7034236138867372,-0.6951476999089925,-0.4811082212904066,1.388691822416084,-0.6104069879044649,-0.7026315919068434,-0.7034413997410053
