Model,MAE,RMSE,R2
LSTM,9.479432741490806,12.97566509575324,0.9217553433298632
Linear Regression,16.851251845225796,21.76957140887883,0.7824839935833086
Random Forest,21.45510005633803,27.7329890990539,0.6469917744567657
XGBoost,21.733563229965732,28.19607020719478,0.6351043973023495
