Date,Close,Volume,Open,High,Low,Asset_Name,MA_7,MA_30,Daily_Return,Volatility_7
2014-12-08,14.2907,138260571,14.7693,14.9907,14.156,Tesla,,,,
2014-12-09,14.4593,141405904,13.956,14.5153,13.618,Tesla,,,0.011797882538993942,
2014-12-10,13.9893,109622540,14.2753,14.4513,13.8467,Tesla,,,-0.032505031363897374,
2014-12-11,13.9253,100266835,14.0353,14.362,13.882,Tesla,,,-0.004574925121342721,
2014-12-12,13.8,107507556,13.6547,14.112,13.6333,Tesla,,,-0.008998010814847746,
2014-12-15,13.6027,77934666,13.9527,13.9867,13.5113,Tesla,,,-0.014297101449275429,
2014-12-16,13.1873,126242622,13.3927,13.5787,13.0247,Tesla,13.893514285714286,,-0.03053805494497419,
2014-12-17,13.7213,110445485,12.8707,13.7767,12.8433,Tesla,13.812171428571428,,0.04049350511476946,0.02536820151118898
2014-12-18,14.5507,111976774,14.1587,14.5627,14.12,Tesla,13.825228571428571,,0.06044616763717725,0.035530626650828664
2014-12-19,14.6193,103530863,14.6793,14.6933,14.3,Tesla,13.915228571428571,,0.004714549815472813,0.03223786310714157
2014-12-22,14.84,72038169,14.6667,14.9373,14.5507,Tesla,14.045900000000001,,0.015096482047703974,0.031942213137968675
2014-12-23,14.7313,67643141,14.9207,14.9543,14.635,Tesla,14.178942857142857,,-0.007324797843665798,0.03178607594054622
2014-12-24,14.8173,20002760,14.6513,14.8333,14.6167,Tesla,14.352457142857142,,0.005837909756776449,0.03010894623713307
2014-12-26,15.188,49866530,14.7673,15.2333,14.7667,Tesla,14.638271428571429,,0.025018053221572245,0.023392793542181517
2014-12-29,15.0473,42044709,15.1267,15.194,14.9347,Tesla,14.827700000000002,,-0.009263892546747532,0.023898799293954623
2014-12-30,14.8153,43474058,14.9327,15.0436,14.76,Tesla,14.865499999999999,,-0.015418048420646868,0.014361754300836912
2014-12-31,14.8273,35894187,14.8727,15.0453,14.8167,Tesla,14.895214285714287,,0.0008099734733686415,0.014344733601911042
2015-01-02,14.6207,71298549,14.858,14.8833,14.2173,Tesla,14.863885714285715,,-0.01393375732601354,0.014159033662287534
2015-01-05,14.006,80332235,14.3033,14.4333,13.8108,Tesla,14.760271428571428,,-0.042043130629860315,0.020828866512341535
2015-01-06,14.0853,93864718,14.004,14.28,13.614,Tesla,14.6557,,0.005661859203198727,0.020810881618825473
2015-01-07,14.0633,44479928,14.2233,14.3187,13.9853,Tesla,14.495028571428573,,-0.0015619120643507456,0.015815409349597333
2015-01-08,14.041,51523489,14.1873,14.2533,14.0007,Tesla,14.351271428571428,,-0.0015856875697737305,0.01620293963568598
2015-01-09,13.7773,68869616,13.928,13.9987,13.664,Tesla,14.202985714285715,,-0.018780713624385714,0.01644787440377403
2015-01-12,13.4807,89184060,13.5367,13.6313,13.2833,Tesla,14.010614285714285,,-0.021528165896075424,0.016118341796363993
2015-01-13,13.6167,63715528,13.5547,13.8407,13.3941,Tesla,13.867185714285714,,0.010088496888143839,0.01838294636292726
2015-01-14,12.846,172745014,12.3887,13.0133,12.3333,Tesla,13.701471428571427,,-0.05659961664720525,0.0228878826102745
2015-01-15,12.7913,78071616,12.966,13.05,12.6667,Tesla,13.516614285714285,,-0.004258134827962001,0.021894449961580666
2015-01-16,12.8713,53862798,12.7133,12.966,12.6433,Tesla,13.34632857142857,,0.006254250936183148,0.022783671588842865
2015-01-20,12.7953,67360181,12.9247,12.9413,12.4693,Tesla,13.16837142857143,,-0.005904609480005929,0.0225004886814878
2015-01-21,13.1047,62161784,12.6367,13.2453,12.634,Tesla,13.072285714285714,14.017066666666667,0.024180753870561844,0.026203121351274755
2015-01-22,13.4413,61556264,13.1333,13.5493,13.0133,Tesla,13.066657142857142,13.988753333333333,0.025685441101284345,0.027814304303697298
2015-01-23,13.4193,51615754,13.3527,13.5667,13.222,Tesla,13.038457142857142,13.954086666666665,-0.0016367464456563674,0.027450622741485523
2015-01-26,13.77,48466791,13.4553,13.908,13.4033,Tesla,13.170457142857144,13.946776666666667,0.02613400102836949,0.01479357280562591
2015-01-27,13.732,41668869,13.628,13.8687,13.5533,Tesla,13.304842857142857,13.940333333333333,-0.0027596223674655196,0.014560773520488901
2015-01-28,13.2913,47092191,13.7407,13.7579,13.228,Tesla,13.364842857142856,13.923376666666666,-0.032092921642877914,0.021760862388752678
2015-01-29,13.68,53138628,13.4047,13.732,13.1,Tesla,13.49122857142857,13.925953333333332,0.029244693897511942,0.022904168978382353
2015-01-30,13.5733,45018997,13.5973,13.8313,13.5333,Tesla,13.558171428571429,13.93882,-0.007799707602339168,0.022751791099190427
2015-02-02,14.0627,62157719,13.598,14.13,13.5533,Tesla,13.646942857142857,13.950199999999999,0.03605608068782096,0.024569060996558943
2015-02-03,14.5573,72237474,14.2147,14.6913,14.0847,Tesla,13.809514285714284,13.95042,0.035171055344990654,0.026352743630983687
2015-02-04,14.57,49566230,14.5527,14.7653,14.4533,Tesla,13.9238,13.948776666666667,0.000872414527419263,0.025817812792977082
2015-02-05,14.7327,52774714,14.6587,15.032,14.6425,Tesla,14.066757142857142,13.9452,0.011166781056966224,0.025348234720009372
2015-02-06,14.4907,48537816,14.8,14.8933,14.4333,Tesla,14.238100000000001,13.937180000000001,-0.01642604546349269,0.021349999296865832
