Model,MAE,RMSE,R2
LSTM,36.71416704569779,67.26676698164427,0.9912843668047417
Linear Regression,56.4894610541193,102.85155180067974,0.9796006750809522
Random Forest,482.89602393084607,823.9870282128564,-0.3092869758662433
XGBoost,510.5648655205016,849.6539087435029,-0.39212495153879323
