Date,Close,Volume,Open,High,Low,Asset_Name,MA_7,MA_30,Daily_Return,Volatility_7,Day,Month,Year,DayOfWeek,Quarter,Close_lag1,Close_lag2,Close_lag7,EMA_7,Price_Range,Open_Close_Diff,Rolling_STD_7
2015-01-21,13.1047,62161784,12.6367,13.2453,12.634,Tesla,13.072285714285714,14.017066666666668,0.0241807538705618,0.0262031213512747,21,1,2015,2,1,12.7953,12.8713,13.7773,13.146778050833376,0.6113,-0.46799999999999997,0.3443627855840838
2015-01-22,13.4413,61556264,13.1333,13.5493,13.0133,Tesla,13.066657142857142,13.988753333333332,0.0256854411012843,0.0278143043036972,22,1,2015,3,1,13.1047,12.7953,13.4807,13.220408538125032,0.5360000000000014,-0.30799999999999983,0.33681397366667276
2015-01-23,13.4193,51615754,13.3527,13.5667,13.222,Tesla,13.038457142857142,13.954086666666663,-0.0016367464456563,0.0274506227414855,23,1,2015,4,1,13.4413,13.1047,13.6167,13.270131403593775,0.34470000000000134,-0.06659999999999933,0.2877803204827145
2015-01-26,13.77,48466791,13.4553,13.908,13.4033,Tesla,13.170457142857144,13.946776666666668,0.0261340010283694,0.0147935728056259,26,1,2015,0,1,13.4193,13.4413,12.846,13.39509855269533,0.5046999999999997,-0.3147000000000002,0.3814560431519406
2015-01-27,13.732,41668869,13.628,13.8687,13.5533,Tesla,13.304842857142855,13.940333333333331,-0.0027596223674655,0.0145607735204889,27,1,2015,1,1,13.77,13.4193,12.7913,13.479323914521498,0.31540000000000035,-0.1039999999999992,0.3911960031200935
2015-01-28,13.2913,47092191,13.7407,13.7579,13.228,Tesla,13.364842857142856,13.923376666666666,-0.0320929216428779,0.0217608623887526,28,1,2015,2,1,13.732,13.77,12.8713,13.432317935891122,0.5298999999999996,0.4494000000000007,0.34283861051103437
2015-01-29,13.68,53138628,13.4047,13.732,13.1,Tesla,13.49122857142857,13.925953333333332,0.0292446938975119,0.0229041689783823,29,1,2015,3,1,13.2913,13.732,12.7953,13.494238451918342,0.6319999999999997,-0.27529999999999966,0.2477772501951719
2015-01-30,13.5733,45018997,13.5973,13.8313,13.5333,Tesla,13.558171428571429,13.93882,-0.0077997076023391,0.0227517910991904,30,1,2015,4,1,13.68,13.2913,13.1047,13.514003838938756,0.29800000000000004,0.02400000000000091,0.17996451237474986
2015-02-02,14.0627,62157719,13.598,14.13,13.5533,Tesla,13.646942857142855,13.9502,0.0360560806878209,0.0245690609965589,2,2,2015,0,1,13.5733,13.68,13.4413,13.651177879204067,0.5767000000000007,-0.4646999999999988,0.25167801425062847
2015-02-03,14.5573,72237474,14.2147,14.6913,14.0847,Tesla,13.809514285714284,13.95042,0.0351710553449906,0.0263527436309836,3,2,2015,1,1,14.0627,13.5733,13.4193,13.877708409403049,0.6066000000000003,-0.3425999999999991,0.4024867510389667
2015-02-04,14.57,49566230,14.5527,14.7653,14.4533,Tesla,13.9238,13.948776666666667,0.0008724145274192,0.025817812792977,4,2,2015,2,1,14.5573,14.0627,13.77,14.050781307052286,0.3119999999999994,-0.017300000000000537,0.49283568593734445
2015-02-05,14.7327,52774714,14.6587,15.032,14.6425,Tesla,14.066757142857142,13.9452,0.0111667810569662,0.0253482347200093,5,2,2015,3,1,14.57,14.5573,13.732,14.221260980289214,0.38949999999999996,-0.07399999999999984,0.5674206019557364
2015-02-06,14.4907,48537816,14.8,14.8933,14.4333,Tesla,14.2381,13.93718,-0.0164260454634926,0.0213499992968658,6,2,2015,4,1,14.7327,14.57,13.2913,14.28862073521691,0.46000000000000085,0.30930000000000035,0.46631212365396324
2015-02-09,14.4987,52046614,14.3587,14.5287,14.1327,Tesla,14.355057142857143,13.92656,0.0005520782294849,0.0203557158304009,9,2,2015,0,1,14.4907,14.7327,13.68,14.341140551412682,0.3960000000000008,-0.1399999999999988,0.40111634163146864
2015-02-10,14.4193,80232890,14.5033,14.7,14.3333,Tesla,14.475914285714284,13.900936666666666,-0.0054763530523426,0.0200622212630033,10,2,2015,1,1,14.4987,14.4907,13.5733,14.360680413559512,0.3666999999999998,0.08399999999999963,0.20660093924095035
2015-02-11,14.1867,135796177,14.1473,14.316,13.8187,Tesla,14.493628571428571,13.87225,-0.0161311575457893,0.0178384621786655,11,2,2015,2,1,14.4193,14.4987,14.0627,14.317185310169634,0.49730000000000096,-0.039400000000000546,0.1667363059273251
2015-02-12,13.5253,234402333,12.9047,13.5392,12.8853,Tesla,14.3462,13.82925,-0.0466211310593724,0.0187857920986616,12,2,2015,3,1,14.1867,14.4193,14.5573,14.119213982627226,0.6538999999999984,-0.6205999999999996,0.3975478713312444
2015-02-13,13.5847,92223059,13.5267,13.7327,13.394,Tesla,14.205442857142856,13.78783,0.0043917694986432,0.0191774822633602,13,2,2015,4,1,13.5253,14.1867,14.57,13.985585486970418,0.33869999999999933,-0.05799999999999983,0.472471102668878
