Date,Volume,Open,High,Low,Close,Intraday_change,day,month,year,Daily_Return,MA_7,MA_30,Volatility_7,is_quarter_end,Price_Range,target,Close_lag1,Close_lag2
2015-03-04,63228793,13.2833,13.5013,13.1473,13.4957,0.2123999999999988,4,3,2015,0.014409200240529163,13.5021,13.82729,0.018302991948812807,1,0.354000000000001,13.3753,13.304,13.155
2015-03-05,73051928,13.5233,13.746,13.3433,13.3753,-0.14800000000000146,5,3,2015,-0.008921360136932455,13.46895714285714,13.836310000000001,0.017723255593469357,1,0.40270000000000117,12.9253,13.4957,13.304
2015-03-06,100581715,13.2807,13.3833,12.8101,12.9253,-0.3553999999999995,6,3,2015,-0.033644105178949224,13.374857142857142,13.81911,0.021291491825980287,1,0.5731999999999999,12.7253,13.3753,13.4957
2015-03-09,100987615,12.9593,12.966,12.55,12.7253,-0.23399999999999999,9,3,2015,-0.015473528660843394,13.219514285714284,13.795976666666666,0.018629033705952636,1,0.4159999999999986,12.688,12.9253,13.3753
2015-03-10,83085573,12.564,12.9,12.5067,12.688,0.12400000000000055,10,3,2015,-0.002931168616849944,13.095514285714286,13.75991,0.018575696143904585,1,0.3933,12.916,12.7253,12.9253
2015-03-11,74526053,12.7433,13.0787,12.734,12.916,0.17270000000000074,11,3,2015,0.017969735182849833,13.06137142857143,13.732709999999999,0.01860010119208836,1,0.34469999999999956,12.738,12.688,12.7253
2015-03-12,62096504,12.9167,12.9633,12.65,12.738,-0.17870000000000097,12,3,2015,-0.013781356457107541,12.980514285714287,13.714266666666667,0.01790488622240805,1,0.3132999999999999,12.5787,12.916,12.688
2015-03-13,81319354,12.5967,12.7833,12.488,12.5787,-0.018000000000000682,13,3,2015,-0.01250588789448892,12.849514285714287,13.677556666666666,0.015507776524625498,1,0.295300000000001,13.0467,12.738,12.916
2015-03-16,84255378,12.8,13.0607,12.6533,13.0467,0.2466999999999988,16,3,2015,0.0372057525817453,12.80257142857143,13.660003333333332,0.023653117708213833,1,0.4074000000000009,12.982,12.5787,12.738
2015-03-17,73353938,13.0287,13.2473,12.9293,12.982,-0.046700000000001296,17,3,2015,-0.004959108433550297,12.810671428571428,13.62398,0.01967128662411531,1,0.3179999999999996,13.3807,13.0467,12.5787
2015-03-18,71953059,12.9973,13.392,12.874,13.3807,0.38339999999999996,18,3,2015,0.030711754737328567,12.904299999999997,13.58476,0.021007592968180645,1,0.5179999999999989,13.0433,12.982,13.0467
2015-03-19,127032626,13.4667,13.6393,12.9687,13.0433,-0.4233999999999991,19,3,2015,-0.025215422212589655,12.955057142857143,13.53387,0.0242673668352943,1,0.6706000000000003,13.2053,13.3807,12.982
2015-03-20,63751108,13.1633,13.266,13.0414,13.2053,0.041999999999999815,20,3,2015,0.012420169742319631,12.996385714285712,13.482956666666666,0.023829382616284457,1,0.22460000000000058,13.3087,13.0433,13.3807
2015-03-23,39337360,13.2333,13.3667,13.1647,13.3087,0.07540000000000013,23,3,2015,0.007830189393652542,13.077914285714284,13.443556666666666,0.022598941889085233,1,0.20199999999999996,13.448,13.2053,13.0433
2015-03-24,54612963,13.4387,13.586,13.3167,13.448,0.009299999999999642,24,3,2015,0.010466837482248526,13.2021,13.408533333333335,0.020989978393286365,1,0.26929999999999943,12.9533,13.3087,13.2053
2015-03-25,85823687,13.218,13.2393,12.8467,12.9533,-0.2646999999999995,25,3,2015,-0.03678613920285545,13.188757142857142,13.359666666666666,0.02337234100355704,1,0.39259999999999984,12.6937,13.448,13.3087
2015-03-26,61802729,12.928,12.986,12.6467,12.6937,-0.23430000000000106,26,3,2015,-0.020041225016019126,13.147571428571426,13.3099,0.02448919145751466,1,0.3393000000000015,12.3333,12.9533,13.448
2015-03-27,128948381,12.6047,12.6193,12.0933,12.3333,-0.27139999999999986,27,3,2015,-0.028392036994729697,12.997942857142858,13.270166666666666,0.020872950311969403,1,0.5260000000000016,12.7047,12.6937,12.9533
2015-03-30,150934575,12.39,12.8167,12.12,12.7047,0.3147000000000002,30,3,2015,0.030113594901608032,12.94957142857143,13.240833333333335,0.024859479174792976,1,0.6967000000000017,12.5847,12.3333,12.6937
2015-03-31,75269212,12.902,12.9173,12.5607,12.5847,-0.31729999999999947,31,3,2015,-0.009445323384259408,12.860914285714285,13.206213333333332,0.023882536197915066,1,0.3565999999999985,12.506,12.7047,12.3333
2015-04-01,56872157,12.58,12.82,12.4033,12.506,-0.07399999999999984,1,4,2015,-0.006253625434058829,12.746242857142859,13.168723333333332,0.023041950333805142,0,0.4167000000000005,12.7333,12.5847,12.7047
