Date,Open,High,Low,Close,Volume,Asset_Name
1984-09-07,0.0998239,0.101049,0.0986188,0.0998239,98594718,Apple
1984-09-10,0.0998239,0.10013,0.0974239,0.0992315,76525586,Apple
1984-09-11,0.10013,0.102846,0.10013,0.101049,180451874,Apple
1984-09-12,0.101049,0.101641,0.0980066,0.0980066,157640102,Apple
1984-09-13,0.10346,0.103754,0.10346,0.10346,245518630,Apple
1984-09-14,0.103754,0.10736,0.103754,0.10495,292335803,Apple
1984-09-17,0.107676,0.109178,0.107676,0.107676,228250569,Apple
1984-09-18,0.107676,0.108565,0.103754,0.103754,115226112,Apple
1984-09-19,0.103754,0.10495,0.101641,0.101641,125862763,Apple
1984-09-20,0.101938,0.102846,0.101938,0.101938,78355891,Apple
1984-09-21,0.101938,0.10495,0.0998239,0.101049,118223408,Apple
1984-09-24,0.101049,0.101641,0.10013,0.10013,93554928,Apple
1984-09-25,0.0998239,0.0998239,0.0980066,0.0980066,197507733,Apple
1984-09-26,0.0980066,0.102529,0.0968212,0.0968212,131406575,Apple
1984-09-27,0.0968212,0.0974239,0.0968212,0.0968212,125438353,Apple
1984-09-28,0.0968212,0.0968212,0.092594,0.0944014,276394064,Apple
1984-10-01,0.0941151,0.0941151,0.0922879,0.0922879,115783123,Apple
1984-10-02,0.0928905,0.096209,0.0928905,0.0928905,140027248,Apple
1984-10-03,0.0944014,0.0959027,0.0944014,0.0944014,142600267,Apple
1984-10-04,0.0955867,0.096209,0.0955867,0.0955867,148594984,Apple
1984-10-05,0.0955867,0.0955867,0.0928905,0.0935026,115544422,Apple
1984-10-08,0.0935026,0.0941151,0.0935026,0.0935026,55623662,Apple
1984-10-09,0.0935026,0.0941151,0.092594,0.092594,148329712,Apple
1984-10-10,0.092594,0.092594,0.0898681,0.0898681,432044786,Apple
1984-10-11,0.0898681,0.0922879,0.0892754,0.0892754,216420287,Apple
1984-10-12,0.0892754,0.0898681,0.084732,0.0853445,314749750,Apple
1984-10-15,0.0901645,0.0910731,0.0901645,0.0901645,288065225,Apple
1984-10-16,0.0901645,0.0904804,0.0898681,0.0898681,139762070,Apple
1984-10-17,0.0935026,0.0941151,0.0935026,0.0935026,185491765,Apple
1984-10-18,0.096209,0.0968212,0.096209,0.096209,292680633,Apple
1984-10-19,0.096209,0.102846,0.0959027,0.096209,386182514,Apple
1984-10-22,0.096209,0.0977102,0.0955867,0.0955867,135889371,Apple
1984-10-23,0.0977102,0.0986188,0.0977102,0.0977102,220770467,Apple
1984-10-24,0.0986188,0.0998239,0.0986188,0.0986188,197772989,Apple
1984-10-25,0.0986188,0.0986188,0.0950138,0.0950138,187295501,Apple
1984-10-26,0.0950138,0.0950138,0.0922879,0.092594,135995424,Apple
1984-10-29,0.0928905,0.0935026,0.0928905,0.0928905,59973813,Apple
1984-10-30,0.0941151,0.0950138,0.0941151,0.0941151,88329409,Apple
1984-10-31,0.0941151,0.0950138,0.0935026,0.0935026,71326668,Apple
1984-11-01,0.0941151,0.0950138,0.0941151,0.0941151,55703206,Apple
1984-11-02,0.0941151,0.0944014,0.0928905,0.0935026,32785326,Apple
1984-11-05,0.0935026,0.0955867,0.0928905,0.0928905,124775235,Apple
1984-11-06,0.0986188,0.0992315,0.0986188,0.0986188,266818454,Apple
1984-11-07,0.0986188,0.0992315,0.0968212,0.0968212,274192477,Apple
1984-11-08,0.0968212,0.0968212,0.0928905,0.0928905,104350696,Apple
1984-11-09,0.0928905,0.0935026,0.0865692,0.0874778,348304331,Apple
1984-11-12,0.0904804,0.0910731,0.0904804,0.0904804,134112134,Apple
1984-11-13,0.0904804,0.092594,0.0883866,0.0883866,150000851,Apple
1984-11-14,0.0892754,0.0901645,0.0892754,0.0892754,123554998,Apple
1984-11-15,0.0892754,0.0901645,0.0892754,0.0892754,126234079,Apple
1984-11-16,0.0892754,0.0904804,0.0868754,0.0874778,196287581,Apple
1984-11-19,0.0874778,0.0880805,0.0823322,0.0823322,275890075,Apple
1984-11-20,0.0850383,0.0853445,0.0850383,0.0850383,311725822,Apple
1984-11-21,0.0868754,0.0874778,0.0868754,0.0868754,211645702,Apple
1984-11-23,0.0880805,0.0904804,0.0880805,0.0892754,162335062,Apple
1984-11-26,0.0901645,0.0901645,0.0901645,0.0901645,119178406,Apple
1984-11-27,0.092594,0.0935026,0.092594,0.092594,150876144,Apple
1984-11-28,0.0974239,0.0998239,0.0974239,0.0974239,486130035,Apple
1984-11-29,0.0974239,0.0974239,0.0955867,0.0955867,207083406,Apple
1984-11-30,0.0955867,0.096209,0.092594,0.0928905,128727522,Apple
1984-12-03,0.0928905,0.0935026,0.0916755,0.0916755,116048379,Apple
