Model,MAE,RMSE,R2
LSTM,1979.1768292682927,2463.843075990849,0.9339160537758379
Linear Regression,2111.5889321969116,2839.893189125265,0.9124726362579263
XGBoost,14166.736138322884,16950.608430048625,-2.1182463219140955
Random Forest,17845.223510971788,20431.638006479974,-3.530500750139777
