Model,MAE,RMSE,R2
LSTM,1.9690268612286108,2.784801598744591,0.9701239990569692
Linear Regression,3.821788090088321,5.122442148265863,0.9002660348042674
Random Forest,4.52329739296998,5.8423794944712295,0.8702616148124908
XGBoost,4.704778682835294,5.971222751255974,0.8644762200269369
